предложить дт| предложить  Вам
пользоваться тв| пользуется  большим  успехом
посылать вн| Посылаю книгу "Семь дней творения"  Иллюстрации
быть им| -Тарханов Михаил Иванович
секретарить рд| Секретарь Союза художников России
предусмотреть тв| предусмотренного   договором  с  Федеральным  агентством по печати
являться тв| является  посредником
установить рд| установленных сборов
составить вн| на расчетном счете Фонда на  01 января 2007 г.  составил одну тысячу
быть тв| учредителем  была
поступить рд| Фонда поступило
закончен рд| телефона закончена
сообщить рд| 13 марта 1998    МК   сообщил
делать вн| делает чистую работу
умудрить тв| умудренный  опытом
отяготить тв| отягощенный знанием, пошатавшийся
казаться рд| казалось им
казаться тв| казалось им
казаться дт| казалось им
представляться тв| представляется простейшей вещью на свете
благословлён тв| благословлен туевой кучей штук
видеть рд| видели резона
решить тв| большинством  голосов  решили  немедленно
решить рд| голосов  решили  немедленно
замереть пр| замерла воздухе
быть рд| вода была
пронзить рд| луча  пронзили толщу  воды
пронзить вн| пронзили толщу
всеять тв| всей кодлой
торчать тв| торчавшей  нелепой луковицей  над  носом судна
опустеть дт| опустевшую банку на самые       хрупкие инструменты
махнуть тв| махнул рукой
говорить дт| вам говорили
обменяться тв| обменялся скучающим взглядом
запричитать тв| хором запричитали
прийтись дт| вам   пришлось
пойти тв| пойти  окольным  путем
достигнуть рд| достигшая   критической   массы
ткнуть тв| ткнул  пальцем  в  графики на дисплее
не говорите дт| ему  не  говорили
нравиться дт| нам нравится
напоминать дт| вам напоминать
заниматься тв| этим заниматься
снимать тв| этим снимает с себя всю ответственность
проступать рд| океанского  дна  проступал  вдалеке все
вместить рд| дабы   вместить   грузовые    отсеки
защитить тв| защищенные  ультра-сталью
долбить тв| долбили  тараном
подвергать дт| подвергали всем видам
оставаться тв| остаются непроницаемыми
рвать вн| рванную трещину в  обшивке
замельтешить тв| замельтешили фонариками
прийтись тв| Им пришлось
пройти рд| пройти несколько титановых дверей
прийтись рд| Им пришлось
открывать тв| открывали  кварковыми   ключами
вылупиться тв| фонариком  вылупившееся на него
уменьшить вн| уменьшенную квинту
поменяться тв| поменялся  шлемами  с пустым
спереть рд1| спертого корабельного воздуха
гнить дт| гниющим останкам
сойти рд| сошел с ума
стоять рд| стоят долгого пути
сделать вн| сделал эффектную  паузу
вращать тв| вращать глазами
плавать тв| потом плавать
послать тв| послал SOS, а потом
скрючить тв| скрюченными пальцами по стеклу  резервуара
использовать рд| аориста использовали  в  старые добрые
качать вн| качать  энергию  из  прошлого
сопровождаться тв| сопровождаются приливом крови к  голове
усеян рд| прошлого были усеяны
усеян тв| усеяны  скважинами  для  генерирования  дармовой бесполезной энергии
предоставлять вн| предоставляло дешевую, чистую  энергию
пробурить вн| пробуривших гадскую уйму скважин
пожать тв| пожал плечами
есть пр| корабле  есть вещи
считать тв| считать его параноиком
залить тв| залитым желудочным соком
отравить вн| отравить целую планету
взорвать вн| взорвать целую планету
облучить вн| облучить целую планету
бояться рд| нечего  бояться
покрыт тв| покрыт осколками
сорвать рд| сорвала сила
смерить тв| спокойно смерил Зафода взглядом
получить рд| Сириуса  получила
оказаться тв| оказались  сплавом  характеристик
стать тв| стали горестными  неудачниками
активировать вн| активировали внутреннюю сигнализацию
позволить дт| им позволят
позволить тв| им позволят
позволить рд| им позволят
наполнить тв| наполненном густой  желтой  жидкостью
улыбаться дт| мирно и тихо улыбался самому себе
